Entry,localization,evidence_code
O75528,Nucleus,ECO:0000269
O75529,Nucleus,ECO:0000269
O75530,Nucleus,None
O75531,Nucleus envelope,ECO:0000269
O75531,Nucleus,ECO:0000269
O75533,Nucleus speckle,None
O75533,Nucleus,ECO:0000269
O75554,Nucleus speckle,ECO:0000255
O75554,Nucleus,ECO:0000269
O75554,Nucleus speckle,ECO:0000269
O75564,Nucleus,ECO:0000255
O75575,Nucleus,ECO:0000250
O75582,Nucleus,None
O75586,Nucleus,None
O75592,Nucleus,ECO:0000269
O75593,Nucleus,None
O75600,Nucleus,ECO:0000269
O75603,Nucleus,ECO:0000269
O75604,Nucleus,ECO:0000250
O75607,Nucleus,ECO:0000269
O75607,Nucleolus,ECO:0000269
O75608,Nucleus membrane,ECO:0000269
O75618,Nucleolus,ECO:0000250
O75626,Nucleus,ECO:0000269
O75643,Nucleus,ECO:0000269
O75665,Nucleus,ECO:0000269
O75676,Nucleus,ECO:0000269
O75677,Nucleus,ECO:0000269
O75679,Nucleus,ECO:0000269
O75689,Nucleus,None
O75691,Nucleolus,ECO:0000269
O75694,Nuclear pore complex,ECO:0000250
O75694,Nucleus membrane,ECO:0000250
O75717,Nucleoplasm,ECO:0000305
O75771,Nucleus,ECO:0000305
O75791,Nucleus,ECO:0000269
O75792,Nucleus,ECO:0000305
O75817,Nucleolus,ECO:0000269
O75818,Nucleolus,ECO:0000305
O75821,Nucleus,ECO:0000255
O75821,Nucleus,ECO:0000269
O75832,Nucleus,ECO:0000269
O75840,Nucleus,ECO:0000269
O75844,Nucleus inner membrane,ECO:0000269
O75909,Nucleus,ECO:0000269
O75912,Nucleus,ECO:0000269
O75920,Nucleus,ECO:0000269
O75925,Nucleus speckle,ECO:0000269
O75925,PML body,ECO:0000250
O75928,Nucleus speckle,ECO:0000250
O75928,Nucleus,ECO:0000269
O75928,PML body,ECO:0000269
O75934,Nucleus,ECO:0000269
O75934,Nucleolus,ECO:0000269
O75937,Nucleus,ECO:0000269
O75940,Cajal body,ECO:0000269
O75940,Nucleus speckle,ECO:0000269
O75943,Nucleus,ECO:0000269
O75952,Nucleus,None
O75971,Nucleus,None
O76021,Nucleolus,ECO:0000269
O76039,Nucleus,ECO:0000269
O76054,Nucleus,None
O76064,Nucleus,ECO:0000255
O76064,Nucleus,ECO:0000269
O76075,Nucleus,None
O76081,Nucleus,None
O77932,Nucleus,ECO:0000269
O94761,Nucleus,ECO:0000269
O94762,Nucleus,ECO:0000269
O94762,Nucleoplasm,ECO:0000269
O94763,Nucleus,None
O94768,Nucleus,ECO:0000269
O94776,Nucleus,ECO:0000255
O94782,Nucleus,ECO:0000269
O94805,Nucleus,ECO:0000303
O94811,Nucleus,ECO:0000269
O94818,Nucleolus,ECO:0000269
O94829,Nucleus,None
O94842,Nucleus,ECO:0000305
O94850,Nucleus,ECO:0000250
O94851,Nucleus,ECO:0000269
O94864,Nucleus,ECO:0000269
O94874,Nucleus,ECO:0000269
O94880,Nucleus,ECO:0000269
O94888,Nucleus,ECO:0000269
O94900,Nucleus,ECO:0000255
O94901,Nucleus inner membrane,ECO:0000269
O94906,Nucleoplasm,ECO:0000269
O94906,Nucleus speckle,ECO:0000269
O94916,Nucleus,ECO:0000269
O94921,Nucleus,None
O94941,Nucleus,ECO:0000269
O94953,Nucleus,ECO:0000269
O94953,Nucleus,ECO:0000255
O94983,Nucleus,ECO:0000305
O94985,Nucleus,ECO:0000269
O94992,Nucleus,ECO:0000269
O94993,Nucleus,ECO:0000269
O95049,Nucleus,ECO:0000269
O95059,Nucleolus,ECO:0000269
O95059,Nucleolus,ECO:0000305
O95071,Nucleus,None
O95072,Nucleus,ECO:0000250
O95073,Nucleus,ECO:0000269
O95096,Nucleus,ECO:0000255
O95104,Nucleus,ECO:0000269
O95125,Nucleus,None
O95149,Nucleus,ECO:0000269
O95155,Nucleus,ECO:0000250
O95163,Nucleus,ECO:0000269
O95201,Nucleus,ECO:0000305
O95218,Nucleus,ECO:0000269
O95229,Nucleus,None
O95231,Nucleus,ECO:0000305
O95232,Nucleus speckle,ECO:0000269
O95238,Nucleus,ECO:0000305
O95239,Nucleus matrix,ECO:0000269
O95243,Nucleus,None
O95251,Nucleus,ECO:0000269
O95259,Nucleus inner membrane,ECO:0000269
O95271,Nuclear pore complex,ECO:0000269
O95273,Nucleus,None
O95278,Nucleus,ECO:0000269
O95319,Nucleus,ECO:0000269
O95343,Nucleus,ECO:0000250
O95343,Nucleus,ECO:0000255
O95347,Nucleus,ECO:0000269
O95359,Nucleus,ECO:0000269
O95365,Nucleus,ECO:0000269
O95373,Nucleus,None
O95376,Nucleus,ECO:0000269
O95391,Nucleus,ECO:0000269
O95391,Nucleus speckle,ECO:0000269
O95400,Nucleus,None
O95402,Nucleus,ECO:0000305
O95409,Nucleus,None
O95415,Nucleus,ECO:0000269
O95416,Nucleus,ECO:0000255
O95453,Nucleus,ECO:0000269
O95453,Nucleolus,ECO:0000269
O95475,Nucleus,ECO:0000255
O95476,Nucleus membrane,None
O95503,Nucleus,ECO:0000269
O95551,Nucleolus,ECO:0000269
O95551,PML body,ECO:0000269
O95551,Nucleus,ECO:0000269
O95568,Nucleus,ECO:0000269
O95568,Nucleolus,ECO:0000269
O95571,Nucleus,ECO:0000269
O95600,Nucleus,ECO:0000269
O95602,Nucleolus,ECO:0000250
O95619,Nucleus,ECO:0000269
O95619,Nucleus,ECO:0000255
O95628,Nucleus,ECO:0000305
O95630,Nucleus,ECO:0000305
O95630,Nucleus,ECO:0000269
O95633,Nucleus,None
O95639,Nucleus,None
O95644,Nucleus,ECO:0000269
O95677,Nucleus,ECO:0000250
O95696,Nucleus,ECO:0000269
O95704,Nucleus,None
O95704,Nucleus,ECO:0000269
O95707,Nucleolus,ECO:0000269
O95714,Nucleus,None
O95718,Nucleus,ECO:0000269
O95751,Nucleus,ECO:0000269
O95760,Nucleus,ECO:0000269
O95777,Nucleus,ECO:0000269
O95785,Nucleus,ECO:0000250
O95789,Nucleus,ECO:0000305
O95801,Nucleus,ECO:0000269
O95801,Nucleoplasm,ECO:0000269
O95817,Nucleus,ECO:0000269
O95831,Nucleus,ECO:0000269
O95833,Nucleus,None
O95863,Nucleus,ECO:0000269
O95897,Nucleus,ECO:0000269
O95905,Nucleus,ECO:0000269
O95926,Nucleus,ECO:0000269
O95931,Nucleus,ECO:0000269
O95935,Nucleus,ECO:0000269
O95935,Nucleus,ECO:0000255
O95936,Nucleus,ECO:0000305
O95947,Nucleus,ECO:0000255
O95948,Nucleus,None
O95983,Nucleus,None
O95990,Nucleus,ECO:0000269
O95997,Nucleus,None
O96004,Nucleoplasm,ECO:0000250
O96004,Nucleolus,ECO:0000250
O96006,Nucleus,ECO:0000269
O96006,PML body,None
O96006,PML body,ECO:0000269
O96017,Nucleoplasm,None
O96017,PML body,None
O96017,Nucleus,None
O96019,Nucleus,ECO:0000269
O96020,Nucleus,ECO:0000269
O96028,Nucleolus,ECO:0000269
O96028,Nucleus,ECO:0000269
P00441,Nucleus,ECO:0000269
P00519,Nucleus membrane,None
P00519,Nucleus,None
P00533,Nucleus,ECO:0000269
P00533,Nucleus membrane,None
P00973,Nucleus,ECO:0000269
P01100,Nucleus,None
P01106,Nucleolus,ECO:0000269
P01106,Nucleoplasm,ECO:0000269
P01112,Nucleus,None
P01583,Nucleus,ECO:0000269
P02489,Nucleus,ECO:0000269
P02511,Nucleus,ECO:0000269
P02533,Nucleus,ECO:0000269
P02545,Nucleus lamina,None
P02545,Nucleoplasm,None
P02545,Nucleus envelope,ECO:0000269
P02545,Nucleus,ECO:0000269
P02545,Nucleus speckle,ECO:0000269
P02545,Nucleus matrix,ECO:0000269
P02686,Nucleus,ECO:0000269
P02760,Nucleus membrane,ECO:0000269
P02788,Nucleus,None
P03372,Nucleus,ECO:0000255
P03372,Nucleus,ECO:0000269
P03372,Nucleus,None
P03950,Nucleolus,ECO:0000269
P03950,Nucleus,ECO:0000269
P04049,Nucleus,None
P04053,Nucleus,ECO:0000269
P04080,Nucleus,ECO:0000269
P04083,Nucleus,ECO:0000269
P04150,Nucleus,ECO:0000269
P04198,Nucleus,None
P04271,Nucleus,ECO:0000269
P04406,Nucleus,ECO:0000250
P04553,Nucleus,None
P04554,Nucleus,ECO:0000250
P04626,Nucleus,None
P04637,PML body,ECO:0000269
P04637,Nucleus,ECO:0000269
P04637,Nucleus,None
P04792,Nucleus,ECO:0000269
P04818,Nucleus,ECO:0000269
P04908,Nucleus,None
P05067,Nucleus,ECO:0000269
P05114,Nucleus,None
P05204,Nucleus,ECO:0000269
P05230,Nucleus,None
P05388,Nucleus,ECO:0000269
P05412,Nucleus,None
P05423,Nucleus,None
P05455,Nucleus,ECO:0000305
P05549,Nucleus,ECO:0000269
P05771,Nucleus,ECO:0000269
P05783,Nucleolus,ECO:0000269
P05783,Nucleus matrix,ECO:0000250
P05787,Nucleus matrix,ECO:0000250
P05787,Nucleoplasm,ECO:0000250
P06241,Nucleus,ECO:0000269
P06400,Nucleus,ECO:0000269
P06401,Nucleus,None
P06454,Nucleus,None
P06493,Nucleus,ECO:0000250
P06703,Nucleus envelope,None
P06730,Nucleus,ECO:0000269
P06733,Nucleus,None
P06746,Nucleus,None
P06748,Nucleolus,ECO:0000269
P06748,Nucleoplasm,ECO:0000269
P06899,Nucleus,None
P07101,Nucleus,ECO:0000250
P07199,Nucleus,ECO:0000269
P07199,Nucleus,ECO:0000255
P07305,Nucleus,ECO:0000269
P07305,Nucleus,ECO:0000255
P07711,Nucleus,ECO:0000269
P07900,Nucleus,ECO:0000250
P07910,Nucleus,None
P07948,Nucleus,None
P07954,Nucleus,ECO:0000269
P07992,Nucleus,ECO:0000269
P08047,Nucleus,None
P08048,Nucleus,None
P08151,Nucleus,ECO:0000269
P08235,Nucleus,None
P08238,Nucleus,ECO:0000269
P08253,Nucleus,None
P08254,Nucleus,ECO:0000269
P08311,Nucleus,ECO:0000269
P08579,Nucleus,ECO:0000269
P08621,Nucleoplasm,ECO:0000269
P08621,Nucleus speckle,ECO:0000269
P08631,Nucleus,ECO:0000269
P08651,Nucleus,None
P08670,Nucleus matrix,ECO:0000250
P08865,Nucleus,ECO:0000255
P08F94,Nucleus,ECO:0000250
P09012,Nucleus,None
P09016,Nucleus,None
P09017,Nucleus,None
P09038,Nucleus,ECO:0000269
P09067,Nucleus,None
P09086,Nucleus,None
P09132,Nucleoplasm,ECO:0000269
P09132,Nucleolus,ECO:0000269
P09211,Nucleus,ECO:0000269
P09234,Nucleus,ECO:0000269
